"","logFC","logCPM","LR","PValue"
"Xkr4",-6.83332447283971,7.05464595234054,1359.19760968608,1.54514404318651e-297
"LOC118567655",-11.7856009486215,-1.34824690581553,164.095115669301,1.44205946691805e-37
"Sox17",-9.08741776924997,3.14483952124455,1268.26106209573,8.92490353776226e-278
"Mrpl15",-8.23005147058769,4.68646051459794,2425.67194811846,0
"Lypla1",-7.91357019344414,5.04359246598639,1094.01758727922,6.59373076922578e-240
"Tcea1",-7.55394858088657,5.86324207937208,2567.05838416763,0
"Rgs20",-8.00789469919015,5.31339897120328,630.792458201222,3.36100471065518e-139
"Atp6v1h",-6.77143709169319,7.38443826891244,2323.34637042443,0
"Oprk1",-8.8434607038929,4.29300589439652,72.9041800398791,1.36099615854936e-17
"Npbwr1",-10.5783979571896,0.559248755753045,124.685402543513,5.96382933642226e-29
"Rb1cc1",-7.26747586026667,6.44529093796255,3583.56154845137,0
"St18",-8.90964098017192,3.53901540162676,1000.73513795217,1.24300667458057e-219
"Pcmtd1",-6.79962590102339,7.43109421586912,1487.59494942682,0
"Gm26901",-13.7582709274193,-1.22180816653009,351.282772419966,2.22740493744631e-78
"Sntg1",-8.01583604523716,4.97908455950033,2544.45978221804,0
"Rrs1",-8.10558599727131,4.86765966349578,2836.6204301804,0
"Adhfe1",-8.46680493938002,4.28905750910418,1980.34710506099,0
"2610203C22Rik",-10.1060188291997,1.02629355217021,260.112517142768,1.62177316955466e-58
"Vxn",-5.77996616913887,8.90197466767548,535.40277503358,1.88606629740384e-118
"Mybl1",-9.5639233703317,2.35701747408669,1105.93554154501,1.69368182290111e-242
"Vcpip1",-7.28854580274466,6.35862690177069,3170.61899434182,0
"Sgk3",-8.49992133341052,4.37790108144599,446.003901695148,5.34300620506736e-99
"Gm6195",-15.9631376854355,-0.0141658975095817,1193.87266896713,1.30900688782808e-261
"Mcmdc2",-9.93071809569972,1.48021385354699,488.538446790246,2.96367383194107e-108
"Snhg6",-9.08558368603708,3.21954865449251,1681.14084442636,0
"Tcf24",-10.7560754991574,-0.0733024118488038,173.547162851509,1.24301485915137e-39
"Ppp1r42",-17.9278211422636,-0.0262543338033349,3123.9871973816,0
"Cops5",-7.39784598002477,6.17916303098308,3644.84506130251,0
"Cspp1",-8.15763816799129,4.77262187740626,1889.44700890963,0
"Arfgef1",-6.90926039822396,6.99758114894167,3069.44000567203,0
"Cpa6",-9.47050696015208,1.18892645705193,11.0022707308828,0.000910003322597526
"Prex2",-7.53235750224396,6.05044224318275,1562.84796112982,0
"A830018L16Rik",-7.0993936375046,6.64288471204503,2135.48617081682,0
"Gm30898",-10.4376963288363,0.646260868277798,403.201636201424,1.10658697376342e-89
"Sulf1",-7.78985895458414,5.37308695549201,1010.27996984476,1.04660386189048e-221
"Slco5a1",-8.12645366914247,4.06957984424195,113.59896614417,1.59517539927411e-26
"Ncoa2",-6.91944157008999,6.94779139034637,2440.03785743359,0
"Tram1",-8.13137523349534,4.58087235078278,998.63725722747,3.55203516745983e-219
"Lactb2",-8.64371597862018,4.06206201210414,2396.48220712675,0
"Eya1",-8.66434785356315,3.52654722730766,520.267280940761,3.70161640818227e-115
"Msc",-10.9560849243952,-0.244114226272999,324.718250947979,1.35889883311485e-72
"Gm9947",-10.4800337852472,0.807266480475555,539.928529403674,1.95425300194639e-119
"Kcnb2",-7.46798511384679,5.00308004258722,49.8280133708547,1.67830563490637e-12
"Terf1",-9.00664453635907,3.25573886833553,1441.87165638261,1.67387910195644e-315
"Sbspon",-10.8686595896548,0.0526446426939771,376.243968790708,8.17935055874084e-84
"Rpl7",-7.18191187350718,6.62127993333767,3593.38359902167,0
"Rdh10",-8.74271858827122,3.67862007239206,748.587343848954,8.1388728922011e-165
"Stau2",-6.88111758999309,7.1422944641842,2846.53674147949,0
"Ube2w",-7.58931598734188,5.89576226647933,3575.60458167212,0
"Eloc",-7.07289668945518,6.78967900041453,3047.99366211531,0
"Tmem70",-7.86375447348399,5.38430733727465,2713.66642490022,0
"Ly96",-15.0857639302724,-0.40012890083827,886.045914856984,1.05997935432777e-194
"Jph1",-8.00632719518518,4.91054916708899,1453.50241769038,4.97043379488732e-318
"Gm46085",-11.1886085416894,0.267060748971631,561.064626111171,4.9320494984994e-124
"Gdap1",-6.97252309363117,6.95724608998162,3469.65881706803,0
"Gm28784",-11.7801607688144,-1.24846020345833,158.573980245396,2.31859525489016e-36
"Pi15",-11.7692040777993,-1.44495664030143,135.068355351716,3.1899555455418e-31
