"","logFC","logCPM","LR","PValue"
"Xkr4",-6.94725403664408,7.05464595234054,1449.66401640321,3.39207834291043e-317
"LOC118567655",-11.6430972864083,-1.34824690581553,136.649839734225,1.43839384376309e-31
"Sox17",-8.98245644167511,3.14483952124455,1198.80424884709,1.10960735257179e-262
"Mrpl15",-8.22811987461372,4.68646051459794,2438.67420464911,0
"Lypla1",-7.9198518166634,5.04359246598639,1108.19892999644,5.45632350830317e-243
"Tcea1",-7.5314374998531,5.86324207937208,2539.1173520361,0
"Rgs20",-7.74787641728401,5.31339897120328,550.033655340829,1.23785199447458e-121
"Atp6v1h",-6.73354429363226,7.38443826891244,2276.54828639286,0
"Oprk1",-8.01105152101297,4.29300589439652,45.4975925088931,1.52826560438917e-11
"Npbwr1",-10.2997105847671,0.559248755753045,94.7451342828638,2.16545104373787e-22
"Rb1cc1",-7.22026772163405,6.44529093796255,3503.45628430468,0
"St18",-8.78436953157193,3.53901540162676,933.094938736282,6.27366692953544e-205
"Pcmtd1",-6.64948557431237,7.43109421586912,1373.24914842666,1.36611101387662e-300
"Gm26901",-13.6614400161609,-1.22180816653009,337.480081370697,2.25771940222419e-75
"Sntg1",-8.05850186827186,4.97908455950033,2627.19642287747,0
"Rrs1",-8.1000700916667,4.86765966349578,2840.23834369492,0
"Adhfe1",-8.44188256157975,4.28905750910418,1959.92777316763,0
"2610203C22Rik",-10.2049617571346,1.02629355217021,295.02563469496,3.99528545603947e-66
"Vxn",-6.04790555384902,8.90197466767548,622.50596801147,2.13167011623311e-137
"Mybl1",-9.56192827896786,2.35701747408669,1109.1840820497,3.33260972452337e-243
"Vcpip1",-7.27337158273635,6.35862690177069,3149.51005172461,0
"Sgk3",-8.13894861335148,4.37790108144599,360.689736994421,1.99248980541051e-80
"Gm6195",-15.8510403760182,-0.0141658975095817,1152.7141825439,1.15345047825548e-252
"Mcmdc2",-9.92925383096765,1.48021385354699,463.239742206885,9.48140564284679e-103
"Snhg6",-9.04816153720966,3.21954865449251,1658.25668121239,0
"Tcf24",-10.807246877353,-0.0733024118488038,195.591075091549,1.91430222002273e-44
"Ppp1r42",-17.929579669327,-0.0262543338033349,3132.78662957712,0
"Cops5",-7.39615020263969,6.17916303098308,3656.93799984443,0
"Cspp1",-8.08727681431748,4.77262187740626,1825.16564919369,0
"Arfgef1",-6.93511966916281,6.99758114894167,3125.5359826803,0
"Cpa6",-9.74958390564224,1.18892645705193,22.7374173097513,1.85716188499238e-06
"Prex2",-7.37546575848553,6.05044224318275,1439.1821930549,6.42892681646346e-315
"A830018L16Rik",-7.14467327193996,6.64288471204503,2196.61327194585,0
"Gm30898",-10.4841177541127,0.646260868277798,425.289571673702,1.72236567128103e-94
"Sulf1",-7.71229237612965,5.37308695549201,967.050238393032,2.60901441016907e-212
"Slco5a1",-8.37111506544517,4.06957984424195,140.473566090547,2.09728277887101e-32
"Ncoa2",-6.98846878177683,6.94779139034637,2541.2561088518,0
"Tram1",-8.21148561642481,4.58087235078278,1053.32777483957,4.60285015004038e-231
"Lactb2",-8.60652516434585,4.06206201210414,2363.5355925755,0
"Eya1",-8.69821385838732,3.52654722730766,539.907024173302,1.975418908833e-119
